PKG,Date
127.5965576171875,2021-01-26
123.97412872314453,2021-01-27
120.17837524414062,2021-01-28
122.6875991821289,2021-01-29
122.86095428466797,2021-02-01
123.69129943847656,2021-02-02
123.76426696777344,2021-02-03
120.74407958984375,2021-02-04
121.62915802001953,2021-02-05
121.38279724121094,2021-02-08
120.38823699951172,2021-02-09
122.07624816894531,2021-02-10
119.68562316894531,2021-02-11
121.51963806152344,2021-02-12
121.39189910888672,2021-02-16
121.73863983154297,2021-02-17
121.06342315673828,2021-02-18
122.34086608886719,2021-02-19
122.55984497070312,2021-02-22
121.84814453125,2021-02-23
121.74776458740234,2021-02-24
121.87552642822266,2021-02-25
120.46123504638672,2021-02-26
123.99237823486328,2021-03-01
124.46687316894531,2021-03-02
124.55809783935547,2021-03-03
122.45948028564453,2021-03-04
123.13468933105469,2021-03-05
126.31001281738281,2021-03-08
127.74256134033203,2021-03-09
128.4998779296875,2021-03-10
127.70606231689453,2021-03-11
126.1069564819336,2021-03-12
123.82781219482422,2021-03-15
122.68824005126953,2021-03-16
123.95648956298828,2021-03-17
123.1385726928711,2021-03-18
120.40908813476562,2021-03-19
119.88524627685547,2021-03-22
118.48834991455078,2021-03-23
119.37059783935547,2021-03-24
122.9547348022461,2021-03-25
124.54464721679688,2021-03-26
124.83872985839844,2021-03-29
124.4803237915039,2021-03-30
123.5888671875,2021-03-31
124.59061431884766,2021-04-01
126.3275375366211,2021-04-05
128.16554260253906,2021-04-06
126.8697738647461,2021-04-07
125.20633697509766,2021-04-08
126.67677307128906,2021-04-09
127.8346939086914,2021-04-12
126.1988754272461,2021-04-13
126.41944122314453,2021-04-14
128.24827575683594,2021-04-15
128.99269104003906,2021-04-16
129.69110107421875,2021-04-19
129.40621948242188,2021-04-20
130.72958374023438,2021-04-21
129.2959442138672,2021-04-22
130.80311584472656,2021-04-23
131.5567169189453,2021-04-26
133.0455322265625,2021-04-27
133.59690856933594,2021-04-28
137.86114501953125,2021-04-29
135.6922607421875,2021-04-30
137.3648681640625,2021-05-03
139.57972717285156,2021-05-04
139.84622192382812,2021-05-05
140.82955932617188,2021-05-06
140.7560272216797,2021-05-07
142.04266357421875,2021-05-10
142.30918884277344,2021-05-11
139.28561401367188,2021-05-12
142.49298095703125,2021-05-13
141.7577667236328,2021-05-14
142.56649780273438,2021-05-17
139.8829803466797,2021-05-18
138.55958557128906,2021-05-19
137.29135131835938,2021-05-20
137.9990234375,2021-05-21
139.23048400878906,2021-05-24
137.10755920410156,2021-05-25
136.684814453125,2021-05-26
137.29135131835938,2021-05-27
136.6112823486328,2021-05-28
137.65896606445312,2021-06-01
134.5802764892578,2021-06-02
134.24942016601562,2021-06-03
134.87435913085938,2021-06-04
132.63197326660156,2021-06-07
132.58599853515625,2021-06-08
131.40968322753906,2021-06-09
131.0696258544922,2021-06-10
132.20004272460938,2021-06-11
128.5074920654297,2021-06-14
129.50697326660156,2021-06-15
128.2853546142578,2021-06-16
123.83399200439453,2021-06-17
