AM,Date
4.295644760131836,2020-01-17
4.016783714294434,2020-01-21
3.898120403289795,2020-01-22
3.868454933166504,2020-01-23
3.6726579666137695,2020-01-24
3.654858350753784,2020-01-27
3.595526933670044,2020-01-28
3.375997543334961,2020-01-29
3.255561113357544,2020-01-30
3.161468982696533,2020-01-31
3.230469226837158,2020-02-03
3.1050143241882324,2020-02-04
3.324561357498169,2020-02-05
3.1112875938415527,2020-02-06
3.0924692153930664,2020-02-07
2.9858319759368896,2020-02-10
2.9042863845825195,2020-02-11
2.9858319759368896,2020-02-12
2.8854682445526123,2020-02-13
2.7662854194641113,2020-02-14
2.7725582122802734,2020-02-18
3.061105251312256,2020-02-19
3.1677422523498535,2020-02-20
2.9858319759368896,2020-02-21
2.879194974899292,2020-02-24
2.7662854194641113,2020-02-25
2.728649139404297,2020-02-26
2.5843758583068848,2020-02-27
2.734921455383301,2020-02-28
2.7851037979125977,2020-03-02
2.6345574855804443,2020-03-03
2.6596484184265137,2020-03-04
2.5969207286834717,2020-03-05
2.62201189994812,2020-03-06
2.063736915588379,2020-03-09
2.220555543899536,2020-03-10
2.013554811477661,2020-03-11
1.8755543231964111,2020-03-12
1.9821909666061401,2020-03-13
1.913190484046936,2020-03-16
1.6497349739074707,2020-03-17
1.2420058250427246,2020-03-18
1.31100594997406,2020-03-19
1.4427341222763062,2020-03-20
1.5117343664169312,2020-03-23
1.5430980920791626,2020-03-24
1.4113702774047852,2020-03-25
1.4427341222763062,2020-03-26
1.3925518989562988,2020-03-27
1.3674607276916504,2020-03-30
1.3172787427902222,2020-03-31
1.2859148979187012,2020-04-01
1.4301884174346924,2020-04-02
1.561916470527649,2020-04-03
1.5368250608444214,2020-04-06
1.5681887865066528,2020-04-07
1.5807344913482666,2020-04-08
1.5807344913482666,2020-04-09
1.743826150894165,2020-04-13
1.743826150894165,2020-04-14
1.7187352180480957,2020-04-15
1.7877352237701416,2020-04-16
2.208009958267212,2020-04-17
2.609466552734375,2020-04-20
2.728649139404297,2020-04-21
2.954468011856079,2020-04-22
3.079923152923584,2020-04-23
2.9795587062835693,2020-04-24
3.0422873497009277,2020-04-27
2.9042863845825195,2020-04-28
3.0238990783691406,2020-04-29
3.191892385482788,2020-04-30
3.1986124515533447,2020-05-01
3.165012836456299,2020-05-04
3.057497024536133,2020-05-05
2.7551071643829346,2020-05-06
2.68118953704834,2020-05-07
2.8088653087615967,2020-05-08
2.775266647338867,2020-05-11
2.7685463428497314,2020-05-12
2.499756097793579,2020-05-13
2.3989593982696533,2020-05-14
2.4258382320404053,2020-05-15
2.68118953704834,2020-05-18
2.70806884765625,2020-05-19
2.94326114654541,2020-05-20
2.88950252532959,2020-05-21
2.88950252532959,2020-05-22
3.0373375415802,2020-05-26
3.111255407333374,2020-05-27
3.0373375415802,2020-05-28
