INVH,Date
28.371625900268555,2020-01-27
28.45346450805664,2020-01-28
28.480743408203125,2020-01-29
28.65352439880371,2020-01-30
28.61715316772461,2020-01-31
28.562589645385742,2020-02-03
28.853580474853516,2020-02-04
28.562589645385742,2020-02-05
28.698991775512695,2020-02-06
28.65352439880371,2020-02-07
29.026357650756836,2020-02-10
28.85276222229004,2020-02-11
29.07203483581543,2020-02-12
29.556262969970703,2020-02-13
29.738990783691406,2020-02-14
29.79381561279297,2020-02-18
29.026357650756836,2020-02-19
28.81621742248535,2020-02-20
28.679170608520508,2020-02-21
28.5512638092041,2020-02-24
27.820350646972656,2020-02-25
27.05289077758789,2020-02-26
26.44075584411621,2020-02-27
26.21234130859375,2020-02-28
27.27216339111328,2020-03-02
27.22648048400879,2020-03-03
28.076171875,2020-03-04
27.591941833496094,2020-03-05
26.988935470581055,2020-03-06
25.079429626464844,2020-03-09
26.00220489501953,2020-03-10
24.64088249206543,2020-03-11
23.462284088134766,2020-03-12
24.71396827697754,2020-03-13
18.89408302307129,2020-03-16
20.191452026367188,2020-03-17
17.633262634277344,2020-03-18
16.902345657348633,2020-03-19
15.705477714538574,2020-03-20
14.737019538879395,2020-03-23
16.573434829711914,2020-03-24
17.24952507019043,2020-03-25
18.208852767944336,2020-03-26
19.012855529785156,2020-03-27
19.36003875732422,2020-03-30
19.524497985839844,2020-03-31
18.528623580932617,2020-04-01
18.683950424194336,2020-04-02
17.697214126586914,2020-04-03
19.59758758544922,2020-04-06
19.73463249206543,2020-04-07
21.05940818786621,2020-04-08
22.21059799194336,2020-04-09
21.616727828979492,2020-04-13
22.11009979248047,2020-04-14
21.7537784576416,2020-04-15
20.858407974243164,2020-04-16
21.76291275024414,2020-04-17
20.319364547729492,2020-04-20
19.332630157470703,2020-04-21
20.173179626464844,2020-04-22
19.725496292114258,2020-04-23
19.89908790588379,2020-04-24
20.62999725341797,2020-04-27
20.831003189086914,2020-04-28
21.83600616455078,2020-04-29
21.60759162902832,2020-04-30
20.894960403442383,2020-05-01
20.821866989135742,2020-05-04
21.47968864440918,2020-05-05
21.05940818786621,2020-05-06
22.48469352722168,2020-05-07
22.777053833007812,2020-05-08
23.133371353149414,2020-05-11
22.168336868286133,2020-05-12
22.030471801757812,2020-05-13
22.076427459716797,2020-05-14
22.14995574951172,2020-05-15
23.363143920898438,2020-05-18
23.197708129882812,2020-05-19
22.710594177246094,2020-05-20
23.188520431518555,2020-05-21
23.390718460083008,2020-05-22
24.015695571899414,2020-05-26
24.14436912536621,2020-05-27
24.080034255981445,2020-05-28
24.17194175720215,2020-05-29
25.651662826538086,2020-06-01
25.357559204101562,2020-06-02
25.568950653076172,2020-06-03
25.486234664916992,2020-06-04
26.340984344482422,2020-06-05
26.837289810180664,2020-06-08
26.157163619995117,2020-06-09
25.329984664916992,2020-06-10
24.190319061279297,2020-06-11
25.43108558654785,2020-06-12
26.074445724487305,2020-06-15
26.53399085998535,2020-06-16
26.102018356323242,2020-06-17
26.056068420410156,2020-06-18
25.58733558654785,2020-06-19
25.872249603271484,2020-06-22
25.697622299194336,2020-06-23
25.063457489013672,2020-06-24
25.55976104736328,2020-06-25
25.026691436767578,2020-06-26
24.898014068603516,2020-06-29
25.302419662475586,2020-06-30
26.102018356323242,2020-07-01
25.945775985717773,2020-07-02
25.798721313476562,2020-07-06
25.23807716369629,2020-07-07
25.339183807373047,2020-07-08
25.155359268188477,2020-07-09
25.320798873901367,2020-07-10
24.88882827758789,2020-07-13
25.063457489013672,2020-07-14
25.357559204101562,2020-07-15
25.173742294311523,2020-07-16
25.752765655517578,2020-07-17
25.47703742980957,2020-07-20
25.421899795532227,2020-07-21
26.102018356323242,2020-07-22
25.688430786132812,2020-07-23
25.302419662475586,2020-07-24
25.74357795715332,2020-07-27
26.212308883666992,2020-07-28
26.97515106201172,2020-07-29
27.407119750976562,2020-07-30
27.407119750976562,2020-07-31
27.260066986083984,2020-08-03
27.269256591796875,2020-08-04
27.039487838745117,2020-08-05
26.956769943237305,2020-08-06
27.75637435913086,2020-08-07
27.600130081176758,2020-08-10
27.11980628967285,2020-08-11
27.572418212890625,2020-08-12
26.953536987304688,2020-08-13
26.482454299926758,2020-08-14
27.341493606567383,2020-08-17
27.027435302734375,2020-08-18
26.510164260864258,2020-08-19
26.55634880065918,2020-08-20
26.870405197143555,2020-08-21
26.888877868652344,2020-08-24
26.731853485107422,2020-08-25
26.325424194335938,2020-08-26
26.621007919311523,2020-08-27
26.473217010498047,2020-08-28
26.445505142211914,2020-08-31
26.574819564819336,2020-09-01
27.110567092895508,2020-09-02
26.621007919311523,2020-09-03
26.482454299926758,2020-09-04
26.029836654663086,2020-09-08
26.83345603942871,2020-09-09
26.251527786254883,2020-09-10
26.316184997558594,2020-09-11
26.93506622314453,2020-09-14
26.70414161682129,2020-09-15
26.722612380981445,2020-09-16
26.445505142211914,2020-09-17
26.16839599609375,2020-09-18
25.475622177124023,2020-09-21
25.60493278503418,2020-09-22
24.422603607177734,2020-09-23
24.902925491333008,2020-09-24
25.475622177124023,2020-09-25
26.36237335205078,2020-09-28
25.863574981689453,2020-09-29
25.85433578491211,2020-09-30
26.574819564819336,2020-10-01
27.073619842529297,2020-10-02
27.267593383789062,2020-10-05
27.165990829467773,2020-10-06
26.99972152709961,2020-10-07
27.59088897705078,2020-10-08
27.369199752807617,2020-10-09
27.43386459350586,2020-10-12
26.676429748535156,2020-10-13
26.306949615478516,2020-10-14
26.279239654541016,2020-10-15
25.80815315246582,2020-10-16
25.558753967285156,2020-10-19
25.8173885345459,2020-10-20
25.95594596862793,2020-10-21
26.593297958374023,2020-10-22
26.851932525634766,2020-10-23
26.45473861694336,2020-10-26
25.909757614135742,2020-10-27
25.23546028137207,2020-10-28
25.309354782104492,2020-10-29
25.180034637451172,2020-10-30
25.549516677856445,2020-11-02
25.863574981689453,2020-11-03
26.621007919311523,2020-11-04
26.75956153869629,2020-11-05
26.75956153869629,2020-11-06
25.61749839782715,2020-11-09
26.04461097717285,2020-11-10
26.97311782836914,2020-11-11
26.675996780395508,2020-11-12
27.08453941345215,2020-11-13
27.03811264038086,2020-11-16
26.740989685058594,2020-11-17
26.2674560546875,2020-11-18
26.072465896606445,2020-11-19
26.23031234741211,2020-11-20
26.137460708618164,2020-11-23
26.555294036865234,2020-11-24
27.15882110595703,2020-11-25
26.703855514526367,2020-11-27
26.536718368530273,2020-11-30
27.15882110595703,2020-12-01
26.815271377563477,2020-12-02
27.279525756835938,2020-12-03
28.078039169311523,2020-12-04
27.52093505859375,2020-12-07
27.35380744934082,2020-12-08
27.103107452392578,2020-12-09
26.843124389648438,2020-12-10
26.889551162719727,2020-12-11
26.72242546081543,2020-12-14
27.233097076416016,2020-12-15
27.103107452392578,2020-12-16
27.186677932739258,2020-12-17
26.351016998291016,2020-12-18
26.63885498046875,2020-12-21
26.945261001586914,2020-12-22
26.592430114746094,2020-12-23
27.028827667236328,2020-12-24
27.242387771606445,2020-12-28
27.028827667236328,2020-12-29
27.41880226135254,2020-12-30
27.576648712158203,2020-12-31
26.536718368530273,2021-01-04
26.954547882080078,2021-01-05
27.01954460144043,2021-01-06
26.870983123779297,2021-01-07
27.233097076416016,2021-01-08
26.97311782836914,2021-01-11
26.675996780395508,2021-01-12
26.583147048950195,2021-01-13
26.880271911621094,2021-01-14
27.474512100219727,2021-01-15
27.335233688354492,2021-01-19
27.883056640625,2021-01-20
27.938766479492188,2021-01-21
27.873767852783203,2021-01-22
27.548795700073242,2021-01-25
27.623069763183594,2021-01-26
26.657426834106445,2021-01-27
26.93597984313965,2021-01-28
27.37237548828125,2021-01-29
28.245174407958984,2021-02-01
28.09661102294922,2021-02-02
27.845916748046875,2021-02-03
27.957338333129883,2021-02-04
27.873767852783203,2021-02-05
27.938766479492188,2021-02-08
28.461687088012695,2021-02-09
28.52705192565918,2021-02-10
28.788509368896484,2021-02-11
28.94725227355957,2021-02-12
28.872549057006836,2021-02-16
28.340293884277344,2021-02-17
27.80803871154785,2021-02-18
27.99479103088379,2021-02-19
27.546579360961914,2021-02-22
27.873403549194336,2021-02-23
27.892078399658203,2021-02-24
27.742671966552734,2021-02-25
27.210416793823242,2021-02-26
27.378496170043945,2021-03-01
27.350482940673828,2021-03-02
26.75286102294922,2021-03-03
26.5567684173584,2021-03-04
26.53809356689453,2021-03-05
26.60346031188965,2021-03-08
26.967632293701172,2021-03-09
27.359821319580078,2021-03-10
27.742671966552734,2021-03-11
28.79784393310547,2021-03-12
29.283414840698242,2021-03-15
29.068645477294922,2021-03-16
28.93791389465332,2021-03-17
29.031291961669922,2021-03-18
28.58307647705078,2021-03-19
29.031291961669922,2021-03-22
28.993940353393555,2021-03-23
29.04062843322754,2021-03-24
29.58222198486328,2021-03-25
