MU,Date
53.604557037353516,2020-11-05
54.174198150634766,2020-11-06
54.95988845825195,2020-11-09
54.41972732543945,2020-11-10
55.35274124145508,2020-11-11
55.24470520019531,2020-11-12
56.89468765258789,2020-11-13
60.754451751708984,2020-11-16
60.88212966918945,2020-11-17
59.65446090698242,2020-11-18
60.72499084472656,2020-11-19
60.302669525146484,2020-11-20
63.03298568725586,2020-11-23
62.807098388671875,2020-11-24
62.29638671875,2020-11-25
63.082096099853516,2020-11-27
62.9445915222168,2020-11-30
65.88115692138672,2020-12-01
67.87488555908203,2020-12-02
68.65076446533203,2020-12-03
72.0292739868164,2020-12-04
71.31233215332031,2020-12-07
71.88196563720703,2020-12-08
70.13377380371094,2020-12-09
70.00608825683594,2020-12-10
69.26949310302734,2020-12-11
70.26144409179688,2020-12-14
71.8426742553711,2020-12-15
71.68553161621094,2020-12-16
70.96857452392578,2020-12-17
70.18287658691406,2020-12-18
70.19269561767578,2020-12-21
69.18110656738281,2020-12-22
68.69985961914062,2020-12-23
69.31859588623047,2020-12-24
69.39717864990234,2020-12-28
68.9552230834961,2020-12-29
70.63465118408203,2020-12-30
73.83638763427734,2020-12-31
72.72660064697266,2021-01-04
75.87922668457031,2021-01-05
75.7319107055664,2021-01-06
77.69615936279297,2021-01-07
76.03636932373047,2021-01-08
77.2640151977539,2021-01-11
78.0398941040039,2021-01-12
78.48187255859375,2021-01-13
79.84701538085938,2021-01-14
79.27738189697266,2021-01-15
83.97196960449219,2021-01-19
82.00769805908203,2021-01-20
83.49072265625,2021-01-21
80.80950164794922,2021-01-22
79.82736206054688,2021-01-25
78.08901977539062,2021-01-26
73.74801635742188,2021-01-27
76.98902893066406,2021-01-28
76.87117004394531,2021-01-29
78.9925765991211,2021-02-01
80.16129302978516,2021-02-02
77.69615936279297,2021-02-03
79.79791259765625,2021-02-04
79.6506118774414,2021-02-05
82.50859069824219,2021-02-08
81.83091735839844,2021-02-09
80.87825012207031,2021-02-10
84.9344482421875,2021-02-11
86.4371109008789,2021-02-12
86.17192077636719,2021-02-16
84.51213073730469,2021-02-17
86.9576416015625,2021-02-18
89.33438873291016,2021-02-19
84.73802185058594,2021-02-22
86.65316772460938,2021-02-23
90.86649322509766,2021-02-24
86.5451431274414,2021-02-25
89.89420318603516,2021-02-26
93.06645965576172,2021-03-01
89.46205139160156,2021-03-02
87.51744079589844,2021-03-03
82.82286834716797,2021-03-04
87.34065246582031,2021-03-05
83.5300064086914,2021-03-08
87.70404815673828,2021-03-09
83.8835678100586,2021-03-10
87.71385192871094,2021-03-11
86.20137786865234,2021-03-12
87.2620849609375,2021-03-15
89.79597473144531,2021-03-16
93.06645965576172,2021-03-17
88.2147445678711,2021-03-18
88.89241790771484,2021-03-19
89.6486587524414,2021-03-22
83.87374877929688,2021-03-23
81.51663970947266,2021-03-24
82.58714294433594,2021-03-25
86.4174575805664,2021-03-26
85.04248046875,2021-03-29
84.99337005615234,2021-03-30
86.6335220336914,2021-03-31
90.75846099853516,2021-04-01
92.07450866699219,2021-04-05
91.81915283203125,2021-04-06
92.28076171875,2021-04-07
93.58698272705078,2021-04-08
93.59681701660156,2021-04-09
93.88162994384766,2021-04-12
90.50310516357422,2021-04-13
89.04955291748047,2021-04-14
88.6567153930664,2021-04-15
89.03974914550781,2021-04-16
86.8299560546875,2021-04-19
85.91656494140625,2021-04-20
87.89065551757812,2021-04-21
83.19607543945312,2021-04-22
84.49248504638672,2021-04-23
86.27013397216797,2021-04-26
87.8611831665039,2021-04-27
84.49248504638672,2021-04-28
86.48619842529297,2021-04-29
84.53176879882812,2021-04-30
83.50052642822266,2021-05-03
82.90145874023438,2021-05-04
83.62821197509766,2021-05-05
83.28447723388672,2021-05-06
84.4433822631836,2021-05-07
79.40506744384766,2021-05-10
79.23809814453125,2021-05-11
75.42745208740234,2021-05-12
75.81045532226562,2021-05-13
78.2756118774414,2021-05-14
78.95328521728516,2021-05-17
77.47026824951172,2021-05-18
78.50150299072266,2021-05-19
79.68004608154297,2021-05-20
79.27738189697266,2021-05-21
81.4184341430664,2021-05-24
79.77828216552734,2021-05-25
80.77021026611328,2021-05-26
82.4300308227539,2021-05-27
82.63626861572266,2021-05-28
82.6460952758789,2021-06-01
82.83269500732422,2021-06-02
80.56398010253906,2021-06-03
82.26305389404297,2021-06-04
82.53804779052734,2021-06-07
79.09077453613281,2021-06-08
77.25420379638672,2021-06-09
77.86312866210938,2021-06-10
77.92205047607422,2021-06-11
79.05149841308594,2021-06-14
80.7113037109375,2021-06-15
79.05149841308594,2021-06-16
79.19881439208984,2021-06-17
75.57476806640625,2021-06-18
75.692626953125,2021-06-21
76.27208709716797,2021-06-22
77.60778045654297,2021-06-23
79.139892578125,2021-06-24
80.56398010253906,2021-06-25
81.88984680175781,2021-06-28
81.4478988647461,2021-06-29
83.46124267578125,2021-06-30
78.67828369140625,2021-07-01
78.89434814453125,2021-07-02
79.6309585571289,2021-07-06
76.82206726074219,2021-07-07
75.7319107055664,2021-07-08
77.332763671875,2021-07-09
78.13811492919922,2021-07-12
77.0479507446289,2021-07-13
77.08724212646484,2021-07-14
75.54529571533203,2021-07-15
73.66944122314453,2021-07-16
73.24713134765625,2021-07-19
74.04264831542969,2021-07-20
75.81045532226562,2021-07-21
74.18014526367188,2021-07-22
74.58282470703125,2021-07-23
74.93638610839844,2021-07-26
72.8935546875,2021-07-27
74.19979858398438,2021-07-28
75.70243835449219,2021-07-29
76.1935043334961,2021-07-30
76.2524185180664,2021-08-02
79.41487884521484,2021-08-03
80.5148696899414,2021-08-04
80.03362274169922,2021-08-05
80.53450012207031,2021-08-06
78.77651977539062,2021-08-09
74.55335235595703,2021-08-10
73.68907165527344,2021-08-11
68.9945068359375,2021-08-12
69.65251922607422,2021-08-13
69.66236114501953,2021-08-16
69.5150375366211,2021-08-17
69.3578872680664,2021-08-18
69.02397918701172,2021-08-19
68.97486877441406,2021-08-20
70.4578628540039,2021-08-23
70.69359588623047,2021-08-24
72.71675872802734,2021-08-25
71.46946716308594,2021-08-26
72.677490234375,2021-08-27
71.85249328613281,2021-08-30
72.38284301757812,2021-08-31
72.40249633789062,2021-09-01
72.66766357421875,2021-09-02
72.49087524414062,2021-09-03
72.32391357421875,2021-09-07
70.97840118408203,2021-09-08
71.56768798828125,2021-09-09
72.1864242553711,2021-09-10
73.02122497558594,2021-09-13
72.17659759521484,2021-09-14
72.50068664550781,2021-09-15
73.29623413085938,2021-09-16
72.97212219238281,2021-09-17
71.07660675048828,2021-09-20
70.8507308959961,2021-09-21
72.64802551269531,2021-09-22
72.71675872802734,2021-09-23
72.72660064697266,2021-09-24
73.83638763427734,2021-09-27
71.79357147216797,2021-09-28
70.35966491699219,2021-09-29
69.80890655517578,2021-09-30
69.81873321533203,2021-10-01
69.45484161376953,2021-10-04
69.3368148803711,2021-10-05
68.78606414794922,2021-10-06
69.37615966796875,2021-10-07
68.96310424804688,2021-10-08
68.07794189453125,2021-10-11
65.61919403076172,2021-10-12
65.28480529785156,2021-10-13
66.68136596679688,2021-10-14
66.56334686279297,2021-10-15
66.15027618408203,2021-10-18
