URBN,Date
1.78125,1996-12-05
1.65625,1996-12-06
1.6875,1996-12-09
1.703125,1996-12-10
1.71875,1996-12-11
1.6875,1996-12-12
1.75,1996-12-13
1.625,1996-12-16
1.546875,1996-12-17
1.515625,1996-12-18
1.5,1996-12-19
1.5078129768371582,1996-12-20
1.46875,1996-12-23
1.4765629768371582,1996-12-24
1.46875,1996-12-26
1.5625,1996-12-27
1.625,1996-12-30
1.625,1996-12-31
1.609375,1997-01-02
1.59375,1997-01-03
1.59375,1997-01-06
1.5625,1997-01-07
1.5,1997-01-08
1.46875,1997-01-09
1.484375,1997-01-10
1.46875,1997-01-13
1.484375,1997-01-14
1.46875,1997-01-15
1.484375,1997-01-16
1.4921879768371582,1997-01-17
1.484375,1997-01-20
1.46875,1997-01-21
1.4765629768371582,1997-01-22
1.453125,1997-01-23
1.46875,1997-01-24
1.5,1997-01-27
1.5234379768371582,1997-01-28
1.5234379768371582,1997-01-29
1.5625,1997-01-30
1.515625,1997-01-31
1.65625,1997-02-03
1.578125,1997-02-04
1.484375,1997-02-05
1.46875,1997-02-06
1.359375,1997-02-07
1.40625,1997-02-10
1.46875,1997-02-11
1.4375,1997-02-12
1.5,1997-02-13
1.484375,1997-02-14
1.46875,1997-02-18
1.421875,1997-02-19
1.390625,1997-02-20
1.40625,1997-02-21
1.421875,1997-02-24
1.421875,1997-02-25
1.421875,1997-02-26
1.375,1997-02-27
1.421875,1997-02-28
1.359375,1997-03-03
1.34375,1997-03-04
1.328125,1997-03-05
1.328125,1997-03-06
1.328125,1997-03-07
1.3359379768371582,1997-03-10
1.3125,1997-03-11
1.375,1997-03-12
1.484375,1997-03-13
1.625,1997-03-14
1.65625,1997-03-17
1.609375,1997-03-18
1.609375,1997-03-19
1.5625,1997-03-20
1.546875,1997-03-21
1.5625,1997-03-24
1.5625,1997-03-25
1.53125,1997-03-26
1.5,1997-03-27
1.453125,1997-03-31
1.453125,1997-04-01
1.46875,1997-04-02
1.46875,1997-04-03
1.453125,1997-04-04
1.4375,1997-04-07
1.40625,1997-04-08
1.375,1997-04-09
1.375,1997-04-10
1.359375,1997-04-11
1.375,1997-04-14
1.390625,1997-04-15
1.390625,1997-04-16
1.421875,1997-04-17
1.46875,1997-04-18
1.5,1997-04-21
1.484375,1997-04-22
1.515625,1997-04-23
1.5,1997-04-24
1.515625,1997-04-25
1.484375,1997-04-28
1.5625,1997-04-29
1.5625,1997-04-30
1.5,1997-05-01
1.515625,1997-05-02
1.71875,1997-05-05
1.8125,1997-05-06
1.84375,1997-05-07
1.828125,1997-05-08
1.796875,1997-05-09
1.796875,1997-05-12
1.71875,1997-05-13
1.765625,1997-05-14
1.765625,1997-05-15
1.75,1997-05-16
1.734375,1997-05-19
1.7421879768371582,1997-05-20
1.625,1997-05-21
1.640625,1997-05-22
1.640625,1997-05-23
1.71875,1997-05-27
1.8125,1997-05-28
1.953125,1997-05-29
2.03125,1997-05-30
2.109375,1997-06-02
2.234375,1997-06-03
2.0625,1997-06-04
2.046875,1997-06-05
2.0625,1997-06-06
1.96875,1997-06-09
1.953125,1997-06-10
1.9375,1997-06-11
1.921875,1997-06-12
1.890625,1997-06-13
1.8125,1997-06-16
1.75,1997-06-17
1.78125,1997-06-18
1.78125,1997-06-19
1.84375,1997-06-20
1.84375,1997-06-23
1.8125,1997-06-24
1.75,1997-06-25
1.75,1997-06-26
1.734375,1997-06-27
1.75,1997-06-30
1.734375,1997-07-01
1.78125,1997-07-02
1.75,1997-07-03
1.7734379768371582,1997-07-07
1.78125,1997-07-08
1.7578129768371582,1997-07-09
1.765625,1997-07-10
1.796875,1997-07-11
1.78125,1997-07-14
1.7734379768371582,1997-07-15
1.78125,1997-07-16
1.8125,1997-07-17
1.875,1997-07-18
1.921875,1997-07-21
1.890625,1997-07-22
1.890625,1997-07-23
1.90625,1997-07-24
2.03125,1997-07-25
1.984375,1997-07-28
1.953125,1997-07-29
1.96875,1997-07-30
1.96875,1997-07-31
1.953125,1997-08-01
1.9375,1997-08-04
2.015625,1997-08-05
2.03125,1997-08-06
2.0,1997-08-07
2.125,1997-08-08
2.109375,1997-08-11
2.0625,1997-08-12
2.0625,1997-08-13
2.078125,1997-08-14
2.03125,1997-08-15
2.03125,1997-08-18
2.03125,1997-08-19
2.140625,1997-08-20
2.125,1997-08-21
2.117187976837158,1997-08-22
2.125,1997-08-25
2.1875,1997-08-26
2.15625,1997-08-27
2.09375,1997-08-28
2.09375,1997-08-29
2.15625,1997-09-02
2.21875,1997-09-03
2.234375,1997-09-04
2.34375,1997-09-05
2.335937976837158,1997-09-08
2.375,1997-09-09
2.421875,1997-09-10
2.375,1997-09-11
2.351562976837158,1997-09-12
2.34375,1997-09-15
2.34375,1997-09-16
2.359375,1997-09-17
2.375,1997-09-18
2.34375,1997-09-19
2.375,1997-09-22
2.273437976837158,1997-09-23
2.3125,1997-09-24
2.28125,1997-09-25
2.265625,1997-09-26
2.234375,1997-09-29
2.140625,1997-09-30
2.078125,1997-10-01
2.03125,1997-10-02
2.125,1997-10-03
2.109375,1997-10-06
2.03125,1997-10-07
2.046875,1997-10-08
2.0,1997-10-09
2.046875,1997-10-10
2.125,1997-10-13
2.21875,1997-10-14
2.25,1997-10-15
2.203125,1997-10-16
2.195312976837158,1997-10-17
2.265625,1997-10-20
2.140625,1997-10-21
2.171875,1997-10-22
2.15625,1997-10-23
2.25,1997-10-24
2.15625,1997-10-27
2.25,1997-10-28
2.203125,1997-10-29
2.171875,1997-10-30
2.078125,1997-10-31
2.1875,1997-11-03
2.375,1997-11-04
2.25,1997-11-05
2.1875,1997-11-06
2.125,1997-11-07
2.09375,1997-11-10
2.1875,1997-11-11
2.0625,1997-11-12
1.984375,1997-11-13
1.984375,1997-11-14
2.054687976837158,1997-11-17
2.015625,1997-11-18
2.1875,1997-11-19
2.21875,1997-11-20
2.25,1997-11-21
2.140625,1997-11-24
2.21875,1997-11-25
2.1875,1997-11-26
2.1875,1997-11-28
2.09375,1997-12-01
2.125,1997-12-02
2.0,1997-12-03
1.96875,1997-12-04
1.90625,1997-12-05
1.921875,1997-12-08
1.875,1997-12-09
1.859375,1997-12-10
