AMT,Date
7.2951836585998535,2001-11-27
7.255751609802246,2001-11-28
7.37405252456665,2001-11-29
6.9402852058410645,2001-11-30
6.380331516265869,2001-12-03
6.388216495513916,2001-12-04
6.63270378112793,2001-12-05
6.585383415222168,2001-12-06
6.07274866104126,2001-12-07
5.4418158531188965,2001-12-10
5.765169620513916,2001-12-11
5.520682334899902,2001-12-12
5.4102678298950195,2001-12-13
5.520682334899902,2001-12-14
5.749394416809082,2001-12-17
6.4670844078063965,2001-12-18
6.1595025062561035,2001-12-19
6.435536861419678,2001-12-20
6.585383415222168,2001-12-21
6.695797920227051,2001-12-24
6.853530406951904,2001-12-26
7.1059041023254395,2001-12-27
7.37405252456665,2001-12-28
7.468695640563965,2001-12-31
7.87880277633667,2002-01-02
8.060195922851562,2002-01-03
7.721068382263184,2002-01-04
7.626425743103027,2002-01-07
7.066469669342041,2002-01-08
6.900852203369141,2002-01-09
6.5065155029296875,2002-01-10
6.63270378112793,2002-01-11
6.191050052642822,2002-01-14
6.0569748878479,2002-01-15
5.50490665435791,2002-01-16
5.039592742919922,2002-01-17
4.6610307693481445,2002-01-18
4.250925064086914,2002-01-22
4.495412826538086,2002-01-23
4.858199596405029,2002-01-24
4.590052127838135,2002-01-25
4.424431800842285,2002-01-28
3.785609483718872,2002-01-29
3.8250436782836914,2002-01-30
4.069529056549072,2002-01-31
4.022211074829102,2002-02-01
3.7619500160217285,2002-02-04
3.3912742137908936,2002-02-05
3.1152420043945312,2002-02-06
3.2808616161346436,2002-02-07
3.154674530029297,2002-02-08
3.5647828578948975,2002-02-11
3.9512319564819336,2002-02-12
4.061644554138184,2002-02-13
3.627875804901123,2002-02-14
3.478029489517212,2002-02-15
3.2335422039031982,2002-02-19
3.312407970428467,2002-02-20
3.154674530029297,2002-02-21
3.03637433052063,2002-02-22
2.918074369430542,2002-02-25
3.367614984512329,2002-02-26
3.549008846282959,2002-02-27
3.817155122756958,2002-02-28
4.345564365386963,2002-03-01
4.645257472991943,2002-03-04
4.771445274353027,2002-03-05
5.520682334899902,2002-03-06
5.220986843109131,2002-03-07
5.4260406494140625,2002-03-08
5.378719806671143,2002-03-11
4.716238975524902,2002-03-12
4.637373447418213,2002-03-13
4.637373447418213,2002-03-14
4.471752166748047,2002-03-15
4.629485130310059,2002-03-18
4.392884254455566,2002-03-19
4.314015865325928,2002-03-20
4.306130886077881,2002-03-21
4.337677955627441,2002-03-22
4.219377517700195,2002-03-25
4.408657550811768,2002-03-26
4.219377517700195,2002-03-27
4.337677955627441,2002-03-28
4.187829971313477,2002-04-01
4.156285285949707,2002-04-02
3.58844256401062,2002-04-03
3.509575128555298,2002-04-04
3.367614984512329,2002-04-05
3.241427421569824,2002-04-08
3.4070494174957275,2002-04-09
3.2650880813598633,2002-04-10
3.1467883586883545,2002-04-11
3.5647828578948975,2002-04-12
3.4622559547424316,2002-04-15
3.943342447280884,2002-04-16
4.298243045806885,2002-04-17
4.298243045806885,2002-04-18
4.227263927459717,2002-04-19
3.769836902618408,2002-04-22
4.030097961425781,2002-04-23
3.943342447280884,2002-04-24
3.785609483718872,2002-04-25
3.8250436782836914,2002-04-26
3.6909687519073486,2002-04-29
3.9354567527770996,2002-04-30
4.258810520172119,2002-05-01
3.785609483718872,2002-05-02
3.8013832569122314,2002-05-03
3.848703145980835,2002-05-06
3.70674204826355,2002-05-07
3.8250436782836914,2002-05-08
3.4701426029205322,2002-05-09
3.2256548404693604,2002-05-10
3.2335422039031982,2002-05-13
3.217768430709839,2002-05-14
3.1389012336730957,2002-05-15
3.02848744392395,2002-05-16
3.099468469619751,2002-05-17
3.154674530029297,2002-05-20
3.052147388458252,2002-05-21
2.996941566467285,2002-05-22
3.1389012336730957,2002-05-23
3.194108247756958,2002-05-24
3.1389012336730957,2002-05-28
2.894413709640503,2002-05-29
2.9101881980895996,2002-05-30
2.996941566467285,2002-05-31
3.03637433052063,2002-06-03
3.075807809829712,2002-06-04
2.996941566467285,2002-06-05
2.996941566467285,2002-06-06
2.9496212005615234,2002-06-07
2.886528730392456,2002-06-10
2.9101881980895996,2002-06-11
2.8234336376190186,2002-06-12
2.68147349357605,2002-06-13
2.4843075275421143,2002-06-14
2.784000873565674,2002-06-17
2.7682278156280518,2002-06-18
2.68147349357605,2002-06-19
2.8155477046966553,2002-06-20
2.760341167449951,2002-06-21
2.460646152496338,2002-06-24
2.5868332386016846,2002-06-25
2.287139654159546,2002-06-26
2.760341167449951,2002-06-27
2.7209079265594482,2002-06-28
2.4290997982025146,2002-07-01
2.058424949645996,2002-07-02
2.058424949645996,2002-07-03
2.1530654430389404,2002-07-05
2.224045753479004,2002-07-08
2.0663115978240967,2002-07-09
2.034764528274536,2002-07-10
1.7271846532821655,2002-07-11
1.7429577112197876,2002-07-12
1.7350713014602661,2002-07-15
2.1688389778137207,2002-07-16
2.247706413269043,2002-07-17
1.9558985233306885,2002-07-18
1.971671223640442,2002-07-19
2.121518850326538,2002-07-22
1.7271846532821655,2002-07-23
2.0505385398864746,2002-07-24
1.8139379024505615,2002-07-25
1.8218250274658203,2002-07-26
1.7823914289474487,2002-07-29
1.7666174173355103,2002-07-30
1.7666174173355103,2002-07-31
1.7902780771255493,2002-08-01
1.7350713014602661,2002-08-02
1.7666174173355103,2002-08-05
1.7666174173355103,2002-08-06
1.2618699073791504,2002-08-07
1.1830031871795654,2002-08-08
1.1830031871795654,2002-08-09
0.985835611820221,2002-08-12
1.1277961730957031,2002-08-13
1.112022876739502,2002-08-14
1.1514562368392944,2002-08-15
1.2539836168289185,2002-08-16
1.4984707832336426,2002-08-19
1.4669235944747925,2002-08-20
1.6404308080673218,2002-08-21
1.7350713014602661,2002-08-22
1.7114107608795166,2002-08-23
1.8375977277755737,2002-08-26
1.8297119140625,2002-08-27
1.8139379024505615,2002-08-28
1.8612576723098755,2002-08-29
1.9401254653930664,2002-08-30
1.9401254653930664,2002-09-03
1.8218250274658203,2002-09-04
1.8139379024505615,2002-09-05
1.8139379024505615,2002-09-06
1.8770312070846558,2002-09-09
1.8454843759536743,2002-09-10
1.8454843759536743,2002-09-11
1.8297119140625,2002-09-12
1.7745044231414795,2002-09-13
1.7745044231414795,2002-09-16
1.6562039852142334,2002-09-17
1.5694506168365479,2002-09-18
1.537903904914856,2002-09-19
1.537903904914856,2002-09-20
1.4353771209716797,2002-09-23
1.3249633312225342,2002-09-24
1.340736746788025,2002-09-25
1.4196038246154785,2002-09-26
1.4196038246154785,2002-09-27
1.2539836168289185,2002-09-30
1.2776435613632202,2002-10-01
1.119909644126892,2002-10-02
1.0094958543777466,2002-10-03
0.8438756465911865,2002-10-04
0.7492353916168213,2002-10-07
0.5915015935897827,2002-10-08
0.559954822063446,2002-10-09
0.5757281184196472,2002-10-10
0.5915015935897827,2002-10-11
0.6703683733940125,2002-10-14
0.7413486242294312,2002-10-15
