NSC,Date
89.56694793701172,2014-12-02
91.68934631347656,2014-12-03
87.92803955078125,2014-12-04
87.73957061767578,2014-12-05
84.73212432861328,2014-12-08
85.28937530517578,2014-12-09
82.99486541748047,2014-12-10
84.10115814208984,2014-12-11
83.21614074707031,2014-12-12
83.3144760131836,2014-12-15
83.85530853271484,2014-12-16
86.24813079833984,2014-12-17
89.30473327636719,2014-12-18
89.36207580566406,2014-12-19
90.15694427490234,2014-12-22
91.12393951416016,2014-12-23
91.2960205078125,2014-12-24
91.40251159667969,2014-12-26
91.607421875,2014-12-29
90.81251525878906,2014-12-30
89.82097625732422,2014-12-31
89.44403076171875,2015-01-02
87.18229675292969,2015-01-05
84.4043197631836,2015-01-06
84.4043197631836,2015-01-07
85.21560668945312,2015-01-08
84.54365539550781,2015-01-09
83.560302734375,2015-01-12
83.16696166992188,2015-01-13
82.82279205322266,2015-01-14
83.45380401611328,2015-01-15
84.87965393066406,2015-01-16
84.77310943603516,2015-01-20
85.51063537597656,2015-01-21
86.93651580810547,2015-01-22
85.86300659179688,2015-01-23
86.95287322998047,2015-01-26
85.37950134277344,2015-01-27
84.4043197631836,2015-01-28
85.05172729492188,2015-01-29
83.560302734375,2015-01-30
85.24839782714844,2015-02-02
87.9034423828125,2015-02-03
87.63150787353516,2015-02-04
88.86752319335938,2015-02-05
88.81810760498047,2015-02-06
88.98287200927734,2015-02-09
89.48551940917969,2015-02-10
89.90574645996094,2015-02-11
90.70503234863281,2015-02-12
90.56494140625,2015-02-13
91.1911849975586,2015-02-17
91.63611602783203,2015-02-18
91.9492416381836,2015-02-19
92.06459045410156,2015-02-20
91.4053955078125,2015-02-23
91.3559799194336,2015-02-24
91.33126831054688,2015-02-25
90.59790802001953,2015-02-26
89.94696807861328,2015-02-27
90.84508514404297,2015-03-02
89.29598236083984,2015-03-03
89.7656478881836,2015-03-04
89.94696807861328,2015-03-05
89.1641616821289,2015-03-06
89.83982849121094,2015-03-09
88.64505767822266,2015-03-10
89.17237091064453,2015-03-11
90.00463104248047,2015-03-12
89.5267105102539,2015-03-13
91.11702728271484,2015-03-16
90.54021453857422,2015-03-17
91.5701904296875,2015-03-18
90.89453887939453,2015-03-19
90.9934310913086,2015-03-20
87.80455780029297,2015-03-23
87.40079498291016,2015-03-24
85.73634338378906,2015-03-25
85.62098693847656,2015-03-26
85.38203430175781,2015-03-27
85.69515991210938,2015-03-30
84.80524444580078,2015-03-31
84.83820343017578,2015-04-01
85.81875610351562,2015-04-02
86.04947662353516,2015-04-06
86.0741958618164,2015-04-07
85.95880126953125,2015-04-08
87.15361785888672,2015-04-09
87.63150787353516,2015-04-10
86.41201782226562,2015-04-13
82.80294799804688,2015-04-14
83.00894927978516,2015-04-15
82.62165832519531,2015-04-16
82.93476867675781,2015-04-17
84.90412902832031,2015-04-20
84.3849868774414,2015-04-21
86.4944076538086,2015-04-22
87.51618194580078,2015-04-23
86.75811767578125,2015-04-24
86.10713958740234,2015-04-27
86.00001525878906,2015-04-28
85.50282287597656,2015-04-29
83.57200622558594,2015-04-30
85.52767181396484,2015-05-01
86.00831604003906,2015-05-04
83.3565444946289,2015-05-05
83.4482421875,2015-05-06
84.1734619140625,2015-05-07
83.88168334960938,2015-05-08
83.48992156982422,2015-05-11
82.55633544921875,2015-05-12
81.4560317993164,2015-05-13
80.61412048339844,2015-05-14
81.32264709472656,2015-05-15
81.66442108154297,2015-05-18
81.0892562866211,2015-05-19
80.0722885131836,2015-05-20
80.94752502441406,2015-05-21
79.6305160522461,2015-05-22
78.83029174804688,2015-05-26
79.04700469970703,2015-05-27
78.1134033203125,2015-05-28
76.6880111694336,2015-05-29
77.3215103149414,2015-06-01
77.2715072631836,2015-06-02
77.10480499267578,2015-06-03
76.6546859741211,2015-06-04
77.11314392089844,2015-06-05
75.90447235107422,2015-06-08
75.38765716552734,2015-06-09
75.47101593017578,2015-06-10
77.12982940673828,2015-06-11
76.43795013427734,2015-06-12
76.154541015625,2015-06-15
76.154541015625,2015-06-16
76.43795013427734,2015-06-17
77.48822784423828,2015-06-18
76.95477294921875,2015-06-19
77.36320495605469,2015-06-22
76.9464111328125,2015-06-23
75.04590606689453,2015-06-24
73.98726654052734,2015-06-25
74.0789566040039,2015-06-26
72.50352478027344,2015-06-29
72.82027435302734,2015-06-30
73.43711853027344,2015-07-01
73.2120590209961,2015-07-02
72.47018432617188,2015-07-06
73.20372772216797,2015-07-07
71.1865005493164,2015-07-08
71.36988067626953,2015-07-09
71.97836303710938,2015-07-10
72.070068359375,2015-07-13
72.28677368164062,2015-07-14
72.48686218261719,2015-07-15
71.35319519042969,2015-07-16
71.63663482666016,2015-07-17
71.76165008544922,2015-07-20
71.61994171142578,2015-07-21
71.16148376464844,2015-07-22
69.5860595703125,2015-07-23
69.152587890625,2015-07-24
69.01921081542969,2015-07-27
70.78636932373047,2015-07-28
71.66162109375,2015-07-29
71.5199203491211,2015-07-30
70.29457092285156,2015-07-31
69.19426727294922,2015-08-03
69.33598327636719,2015-08-04
69.32759857177734,2015-08-05
68.50482940673828,2015-08-06
68.09347534179688,2015-08-07
69.36116790771484,2015-08-10
67.98435974121094,2015-08-11
68.28657531738281,2015-08-12
68.01792907714844,2015-08-13
68.62240600585938,2015-08-14
68.96658325195312,2015-08-17
69.13450622558594,2015-08-18
68.4209213256836,2015-08-19
67.11963653564453,2015-08-20
65.46578216552734,2015-08-21
62.74574661254883,2015-08-24
60.81486892700195,2015-08-25
62.22523498535156,2015-08-26
65.41541290283203,2015-08-27
66.49000549316406,2015-08-28
65.40701293945312,2015-08-31
63.56006622314453,2015-09-01
64.25688171386719,2015-09-02
64.77739715576172,2015-09-03
64.24847412109375,2015-09-04
66.06185150146484,2015-09-08
66.271728515625,2015-09-09
66.35567474365234,2015-09-10
66.46481323242188,2015-09-11
66.06185150146484,2015-09-14
67.59815979003906,2015-09-15
68.58041381835938,2015-09-16
68.09347534179688,2015-09-17
66.28011322021484,2015-09-18
66.8006362915039,2015-09-21
65.0040512084961,2015-09-22
64.0889663696289,2015-09-23
63.54328536987305,2015-09-24
63.48452377319336,2015-09-25
62.67859649658203,2015-09-28
62.888465881347656,2015-09-29
64.13935089111328,2015-09-30
64.92011260986328,2015-10-01
66.33049774169922,2015-10-02
67.14484405517578,2015-10-05
66.68309783935547,2015-10-06
68.16905212402344,2015-10-07
69.66338348388672,2015-10-08
69.6046371459961,2015-10-09
67.98435974121094,2015-10-12
66.5655517578125,2015-10-13
65.67566680908203,2015-10-14
66.7082748413086,2015-10-15
65.7848129272461,2015-10-16
65.28948974609375,2015-10-19
66.18777465820312,2015-10-20
66.07025909423828,2015-10-21
67.59815979003906,2015-10-22
68.00117492675781,2015-10-23
67.39669799804688,2015-10-26
65.01244354248047,2015-10-27
68.50482940673828,2015-10-28
68.07669067382812,2015-10-29
67.1867904663086,2015-10-30
67.48062896728516,2015-11-02
67.73249816894531,2015-11-03
67.95237731933594,2015-11-04
67.7832260131836,2015-11-05
67.54644775390625,2015-11-06
74.94637298583984,2015-11-09
74.90406036376953,2015-11-10
75.1746826171875,2015-11-11
75.05628967285156,2015-11-12
75.23388671875,2015-11-13
74.67573547363281,2015-11-16
73.55094909667969,2015-11-17
78.21922302246094,2015-11-18
81.90652465820312,2015-11-19
82.5069580078125,2015-11-20
80.81553649902344,2015-11-23
79.96139526367188,2015-11-24
80.68020629882812,2015-11-25
