PDCO,Date
27.678844451904297,2021-07-09
27.588008880615234,2021-07-12
27.279151916503906,2021-07-13
27.824190139770508,2021-07-14
27.297317504882812,2021-07-15
27.279151916503906,2021-07-16
27.170143127441406,2021-07-19
27.3699893951416,2021-07-20
27.69701385498047,2021-07-21
27.431316375732422,2021-07-22
27.52293586730957,2021-07-23
27.660367965698242,2021-07-26
27.80695915222168,2021-07-27
28.100147247314453,2021-07-28
28.182605743408203,2021-07-29
28.521602630615234,2021-07-30
28.320035934448242,2021-08-02
27.944393157958984,2021-08-03
27.742826461791992,2021-08-04
26.826618194580078,2021-08-05
27.009859085083008,2021-08-06
26.75332260131836,2021-08-09
26.551753997802734,2021-08-10
26.909074783325195,2021-08-11
27.24807357788086,2021-08-12
27.367177963256836,2021-08-13
27.128963470458984,2021-08-16
27.394664764404297,2021-08-17
26.87242317199707,2021-08-18
26.927400588989258,2021-08-19
26.93656349182129,2021-08-20
27.2205867767334,2021-08-23
27.19310188293457,2021-08-24
27.000694274902344,2021-08-25
26.95488739013672,2021-08-26
27.75198745727539,2021-08-27
27.75198745727539,2021-08-30
28.072660446166992,2021-08-31
27.587072372436523,2021-09-01
29.41032600402832,2021-09-02
28.402496337890625,2021-09-03
28.714008331298828,2021-09-07
29.1812744140625,2021-09-08
29.465303421020508,2021-09-09
29.501949310302734,2021-09-10
29.190439224243164,2021-09-13
28.82395362854004,2021-09-14
28.695682525634766,2021-09-15
28.77814292907715,2021-09-16
28.384170532226562,2021-09-17
27.651203155517578,2021-09-20
27.614553451538086,2021-09-21
27.916902542114258,2021-09-22
27.861934661865234,2021-09-23
27.880258560180664,2021-09-24
28.08182144165039,2021-09-27
27.75198745727539,2021-09-28
28.255905151367188,2021-09-29
27.614553451538086,2021-09-30
28.659034729003906,2021-10-01
28.92473602294922,2021-10-04
29.41948890686035,2021-10-05
29.621055603027344,2021-10-06
29.785966873168945,2021-10-07
29.978374481201172,2021-10-08
29.905080795288086,2021-10-11
29.76764678955078,2021-10-12
29.721839904785156,2021-10-13
29.676027297973633,2021-10-14
29.474462509155273,2021-10-15
29.13546371459961,2021-10-18
29.227083206176758,2021-10-19
29.547760009765625,2021-10-20
29.547758102416992,2021-10-21
29.436920166015625,2021-10-22
28.975095748901367,2021-10-25
28.661048889160156,2021-10-26
28.09761619567871,2021-10-27
28.60562515258789,2021-10-28
28.873489379882812,2021-10-29
30.14813232421875,2021-11-01
30.64690399169922,2021-11-02
30.914766311645508,2021-11-03
30.61920738220215,2021-11-04
31.173389434814453,2021-11-05
30.739276885986328,2021-11-08
30.840879440307617,2021-11-09
30.850116729736328,2021-11-10
31.053316116333008,2021-11-11
31.404308319091797,2021-11-12
31.09950065612793,2021-11-15
31.39507293701172,2021-11-16
31.12721061706543,2021-11-17
31.23804473876953,2021-11-18
30.656147003173828,2021-11-19
30.508359909057617,2021-11-22
30.120424270629883,2021-11-23
29.64012336730957,2021-11-24
29.21524429321289,2021-11-26
30.314390182495117,2021-11-29
29.067453384399414,2021-11-30
27.709680557250977,2021-12-01
27.506479263305664,2021-12-02
26.979991912841797,2021-12-03
27.45105743408203,2021-12-06
27.432586669921875,2021-12-07
27.349456787109375,2021-12-08
26.656713485717773,2021-12-09
26.462745666503906,2021-12-10
26.120994567871094,2021-12-13
26.425800323486328,2021-12-14
26.545875549316406,2021-12-15
25.779239654541016,2021-12-16
25.677640914916992,2021-12-17
25.308176040649414,2021-12-20
25.973209381103516,2021-12-21
26.582820892333984,2021-12-22
26.656713485717773,2021-12-23
27.257091522216797,2021-12-27
27.478771209716797,2021-12-28
27.63578987121582,2021-12-29
27.506479263305664,2021-12-30
27.109304428100586,2021-12-31
27.072357177734375,2022-01-03
27.65426254272461,2022-01-04
27.432586669921875,2022-01-05
26.91533851623535,2022-01-06
27.12778091430664,2022-01-07
26.952285766601562,2022-01-10
27.30327033996582,2022-01-11
26.30572509765625,2022-01-12
26.250307083129883,2022-01-13
26.619768142700195,2022-01-14
26.074810028076172,2022-01-18
25.714584350585938,2022-01-19
25.89173698425293,2022-01-20
25.88241195678711,2022-01-21
26.143474578857422,2022-01-24
25.89173698425293,2022-01-25
25.733232498168945,2022-01-26
25.938352584838867,2022-01-27
26.41385841369629,2022-01-28
26.749509811401367,2022-01-31
26.4791259765625,2022-02-01
26.535064697265625,2022-02-02
26.040912628173828,2022-02-03
26.07820701599121,2022-02-04
25.639995574951172,2022-02-07
26.320619583129883,2022-02-08
26.329944610595703,2022-02-09
25.984973907470703,2022-02-10
25.80782127380371,2022-02-11
25.938352584838867,2022-02-14
27.67255210876465,2022-02-15
28.520998001098633,2022-02-16
27.96158218383789,2022-02-17
27.681873321533203,2022-02-18
27.374195098876953,2022-02-22
26.917335510253906,2022-02-23
27.178396224975586,2022-02-24
28.28791046142578,2022-02-25
27.877670288085938,2022-02-28
27.430133819580078,2022-03-01
28.660852432250977,2022-03-02
29.63983726501465,2022-03-03
29.6025447845459,2022-03-04
29.649158477783203,2022-03-07
29.24824333190918,2022-03-08
29.807661056518555,2022-03-09
29.332155227661133,2022-03-10
28.893943786621094,2022-03-11
28.726118087768555,2022-03-14
28.86597442626953,2022-03-15
28.502351760864258,2022-03-16
28.875295639038086,2022-03-17
29.089744567871094,2022-03-18
29.322832107543945,2022-03-21
29.416067123413086,2022-03-22
29.145681381225586,2022-03-23
29.24824333190918,2022-03-24
29.583894729614258,2022-03-25
29.742395401000977,2022-03-28
30.189929962158203,2022-03-29
29.77968978881836,2022-03-30
30.180604934692383,2022-03-31
30.75867462158203,2022-04-01
30.8052921295166,2022-04-04
30.36707878112793,2022-04-05
30.618816375732422,2022-04-06
31.271474838256836,2022-04-07
32.08262634277344,2022-04-08
31.34606170654297,2022-04-11
31.849538803100586,2022-04-12
32.02668762207031,2022-04-13
32.64204406738281,2022-04-14
32.250450134277344,2022-04-18
31.159584045410156,2022-04-19
31.942768096923828,2022-04-20
32.262203216552734,2022-04-21
31.28512954711914,2022-04-22
31.247549057006836,2022-04-25
30.129549026489258,2022-04-26
29.6785945892334,2022-04-27
29.565855026245117,2022-04-28
28.908214569091797,2022-04-29
28.33511734008789,2022-05-02
29.227638244628906,2022-05-03
30.28926658630371,2022-05-04
29.46251678466797,2022-05-05
30.2047119140625,2022-05-06
29.584646224975586,2022-05-09
28.32572364807129,2022-05-10
28.54180908203125,2022-05-11
29.13368797302246,2022-05-12
29.105504989624023,2022-05-13
29.53767204284668,2022-05-16
30.48655891418457,2022-05-17
29.481300354003906,2022-05-18
28.74849510192871,2022-05-19
29.41553497314453,2022-05-20
29.528276443481445,2022-05-23
29.359169006347656,2022-05-24
29.697385787963867,2022-05-25
29.547067642211914,2022-05-26
29.941654205322266,2022-05-27
29.6785945892334,2022-05-31
29.049137115478516,2022-06-01
29.669200897216797,2022-06-02
29.218242645263672,2022-06-03
28.917604446411133,2022-06-06
29.518882751464844,2022-06-07
29.02094841003418,2022-06-08
28.43846321105957,2022-06-09
27.98750877380371,2022-06-10
27.24530601501465,2022-06-13
26.437341690063477,2022-06-14
26.77556037902832,2022-06-15
26.061548233032227,2022-06-16
26.24944496154785,2022-06-17
26.399763107299805,2022-06-21
26.63463592529297,2022-06-22
26.559476852416992,2022-06-23
26.747373580932617,2022-06-24
27.057409286499023,2022-06-27
26.268234252929688,2022-06-28
29.03974151611328,2022-06-29
28.466650009155273,2022-06-30
28.73910140991211,2022-07-01
28.269357681274414,2022-07-05
