CBRE,Date
38.34000015258789,2015-04-30
38.5099983215332,2015-05-01
38.58000183105469,2015-05-04
37.279998779296875,2015-05-05
36.869998931884766,2015-05-06
37.0099983215332,2015-05-07
37.54999923706055,2015-05-08
38.33000183105469,2015-05-11
37.56999969482422,2015-05-12
37.599998474121094,2015-05-13
38.52000045776367,2015-05-14
38.56999969482422,2015-05-15
38.720001220703125,2015-05-18
38.689998626708984,2015-05-19
38.68000030517578,2015-05-20
38.25,2015-05-21
38.290000915527344,2015-05-22
38.36000061035156,2015-05-26
38.61000061035156,2015-05-27
38.31999969482422,2015-05-28
38.2400016784668,2015-05-29
38.47999954223633,2015-06-01
38.439998626708984,2015-06-02
38.150001525878906,2015-06-03
37.90999984741211,2015-06-04
37.41999816894531,2015-06-05
36.849998474121094,2015-06-08
36.599998474121094,2015-06-09
37.099998474121094,2015-06-10
37.31999969482422,2015-06-11
37.290000915527344,2015-06-12
36.56999969482422,2015-06-15
36.529998779296875,2015-06-16
36.70000076293945,2015-06-17
37.720001220703125,2015-06-18
37.119998931884766,2015-06-19
37.11000061035156,2015-06-22
37.38999938964844,2015-06-23
37.290000915527344,2015-06-24
37.209999084472656,2015-06-25
37.4900016784668,2015-06-26
36.5099983215332,2015-06-29
37.0,2015-06-30
37.52000045776367,2015-07-01
37.68000030517578,2015-07-02
37.43000030517578,2015-07-06
38.04999923706055,2015-07-07
37.310001373291016,2015-07-08
37.20000076293945,2015-07-09
37.599998474121094,2015-07-10
37.79999923706055,2015-07-13
38.02000045776367,2015-07-14
38.040000915527344,2015-07-15
38.369998931884766,2015-07-16
37.52000045776367,2015-07-17
38.02000045776367,2015-07-20
38.34000015258789,2015-07-21
38.470001220703125,2015-07-22
38.560001373291016,2015-07-23
37.689998626708984,2015-07-24
37.369998931884766,2015-07-27
37.75,2015-07-28
37.18000030517578,2015-07-29
37.59000015258789,2015-07-30
37.970001220703125,2015-07-31
37.75,2015-08-03
37.630001068115234,2015-08-04
38.0,2015-08-05
37.540000915527344,2015-08-06
37.459999084472656,2015-08-07
38.29999923706055,2015-08-10
38.5,2015-08-11
37.540000915527344,2015-08-12
38.02000045776367,2015-08-13
38.22999954223633,2015-08-14
37.90999984741211,2015-08-17
37.59000015258789,2015-08-18
37.310001373291016,2015-08-19
36.279998779296875,2015-08-20
34.91999816894531,2015-08-21
32.470001220703125,2015-08-24
31.56999969482422,2015-08-25
32.150001525878906,2015-08-26
32.59000015258789,2015-08-27
32.529998779296875,2015-08-28
32.02000045776367,2015-08-31
31.149999618530273,2015-09-01
32.33000183105469,2015-09-02
32.779998779296875,2015-09-03
31.790000915527344,2015-09-04
32.619998931884766,2015-09-08
32.29999923706055,2015-09-09
32.52000045776367,2015-09-10
32.77000045776367,2015-09-11
32.290000915527344,2015-09-14
32.970001220703125,2015-09-15
33.29999923706055,2015-09-16
33.369998931884766,2015-09-17
33.22999954223633,2015-09-18
33.54999923706055,2015-09-21
32.90999984741211,2015-09-22
33.29999923706055,2015-09-23
32.7400016784668,2015-09-24
32.560001373291016,2015-09-25
30.93000030517578,2015-09-28
31.309999465942383,2015-09-29
32.0,2015-09-30
31.829999923706055,2015-10-01
31.959999084472656,2015-10-02
32.439998626708984,2015-10-05
32.130001068115234,2015-10-06
32.31999969482422,2015-10-07
33.15999984741211,2015-10-08
32.970001220703125,2015-10-09
33.34000015258789,2015-10-12
33.38999938964844,2015-10-13
33.40999984741211,2015-10-14
33.810001373291016,2015-10-15
34.380001068115234,2015-10-16
34.689998626708984,2015-10-19
34.5099983215332,2015-10-20
34.27000045776367,2015-10-21
35.279998779296875,2015-10-22
34.91999816894531,2015-10-23
34.5,2015-10-26
34.4900016784668,2015-10-27
37.56999969482422,2015-10-28
38.36000061035156,2015-10-29
37.279998779296875,2015-10-30
