CB,Date
25.92843246459961,2002-03-19
25.330551147460938,2002-03-20
26.375246047973633,2002-03-21
26.61440658569336,2002-03-22
25.46272850036621,2002-03-25
25.45008659362793,2002-03-26
25.848041534423828,2002-03-27
26.340744018554688,2002-03-28
26.397602081298828,2002-04-01
26.694473266601562,2002-04-02
26.719749450683594,2002-04-03
27.161922454833984,2002-04-04
27.24403190612793,2002-04-05
27.610395431518555,2002-04-08
27.91991424560547,2002-04-09
28.311553955078125,2002-04-10
28.06521224975586,2002-04-11
28.046274185180664,2002-04-12
27.250341415405273,2002-04-15
27.161922454833984,2002-04-16
27.41458511352539,2002-04-17
27.408283233642578,2002-04-18
27.673574447631836,2002-04-19
27.679895401000977,2002-04-22
27.256677627563477,2002-04-23
27.24403190612793,2002-04-24
26.68816375732422,2002-04-25
26.782915115356445,2002-04-26
26.30916404724121,2002-04-29
27.490398406982422,2002-04-30
25.071088790893555,2002-05-01
22.986570358276367,2002-05-02
23.36557960510254,2002-05-03
22.74652862548828,2002-05-06
22.519128799438477,2002-05-07
22.42436981201172,2002-05-08
22.20961570739746,2002-05-09
21.603193283081055,2002-05-10
22.076953887939453,2002-05-13
21.79271125793457,2002-05-14
21.565296173095703,2002-05-15
21.091548919677734,2002-05-16
21.072599411010742,2002-05-17
20.71885871887207,2002-05-20
21.287363052368164,2002-05-21
20.655696868896484,2002-05-22
21.723222732543945,2002-05-23
22.26645851135254,2002-05-24
21.93799591064453,2002-05-28
22.203296661376953,2002-05-29
21.558996200561523,2002-05-30
21.8621826171875,2002-05-31
21.432653427124023,2002-06-03
20.813613891601562,2002-06-04
21.344209671020508,2002-06-05
20.750446319580078,2002-06-06
20.33985710144043,2002-06-07
20.592527389526367,2002-06-10
20.13771629333496,2002-06-11
20.377763748168945,2002-06-12
20.30827522277832,2002-06-13
20.516727447509766,2002-06-14
21.20525360107422,2002-06-17
21.388431549072266,2002-06-18
20.902048110961914,2002-06-19
20.965213775634766,2002-06-20
21.034700393676758,2002-06-21
20.782024383544922,2002-06-24
20.52936363220215,2002-06-25
19.93881607055664,2002-06-26
